2018-08-09,0,1327,72,55000,0
2018-08-10,0,1298,56,5000,0
2018-08-11,0,542,12,0,0
2018-08-12,0,394,17,0,0
2018-08-13,0,1197,70,5000,0
2018-08-14,0,1111,50,25000,0
2018-08-15,0,1228,64,15000,0
2018-08-16,0,1130,62,5000,0
2018-08-17,0,1278,46,5000,0
2018-08-18,0,475,18,0,0
2018-08-19,0,501,26,0,0
2018-08-20,0,1133,57,35000,0
2018-08-21,0,1314,66,40000,0
2018-08-22,0,1304,78,30000,0
2018-08-23,0,1449,67,20000,0
2018-08-24,0,1098,63,45000,0
2018-08-25,0,726,20,0,0
2018-08-26,0,508,18,0,0
2018-08-27,0,1079,86,15000,0
2018-08-28,0,1456,73,20000,0
2018-08-29,0,1682,70,15000,0
2018-08-30,0,1650,71,0,0
2018-08-31,0,1642,70,20000,0
2018-09-01,0,633,11,0,0
2018-09-02,0,589,21,0,0
2018-09-03,0,1347,72,20000,0
2018-09-04,0,1416,59,15000,0
2018-09-05,199493,1897,86,20000,0
2018-09-06,325,1367,71,15000,0
2018-09-07,333,1443,77,5000,0
2018-09-08,159,611,17,5000,0
2018-09-09,173,455,19,0,0
2018-09-10,311,991,73,20000,0
2018-09-11,356,1366,94,35000,0
2018-09-12,308,1416,65,30000,0
2018-09-13,374,1726,72,55000,0
2018-09-14,363,1748,88,15000,0
2018-09-15,237,959,43,0,0
2018-09-16,200,867,27,0,0
2018-09-17,364,1814,94,45000,0
2018-09-18,330,1961,78,10000,0
2018-09-19,304,1565,75,15000,0
2018-09-20,296,1608,84,45000,0
2018-09-21,271,1330,63,15000,0
2018-09-22,165,597,13,0,0
2018-09-23,188,742,23,0,0
2018-09-24,309,1232,91,60000,0
2018-09-25,302,1632,79,10000,0
2018-09-26,505,2412,67,25000,0
2018-09-27,364,1900,67,50000,0
2018-09-28,283,1595,69,25000,0
2018-09-29,211,829,31,0,0
2018-09-30,181,684,22,0,0
2018-10-01,295,1157,78,45000,0
2018-10-02,321,1517,77,15000,0
2018-10-03,377,1684,82,20000,0
2018-10-04,359,1614,106,30000,0
2018-10-05,391,2081,75,10000,0
2018-10-06,217,1158,23,5000,0
2018-10-07,189,809,34,0,0
2018-10-08,314,1341,84,0,0
2018-10-09,397,1583,101,15000,0
2018-10-10,434,1934,90,15000,0
2018-10-11,325,1492,100,15000,0
2018-10-12,286,1396,76,10000,0
2018-10-13,212,804,37,0,0
2018-10-14,183,598,38,0,0
2018-10-15,396,1582,117,50000,0
2018-10-16,366,1613,117,5000,0
2018-10-17,385,1777,86,50000,0
2018-10-18,456,2095,139,5000,0
2018-10-19,314,1649,96,15000,0
2018-10-20,232,1045,32,0,0
2018-10-21,221,730,60,0,0
2018-10-22,394,1217,99,20000,0
2018-10-23,440,1195,109,45000,0
2018-10-24,345,1415,97,35000,0
2018-10-25,360,1681,97,15000,0
2018-10-26,310,1986,89,35000,0
2018-10-27,167,871,39,0,0
2018-10-28,199,688,46,0,0
2018-10-29,392,1635,132,10000,0
2018-10-30,427,2172,120,70000,0
2018-10-31,344,1596,98,35000,0
2018-11-01,406,1583,117,15000,0
2018-11-02,403,2038,143,5000,15000
2018-11-03,230,1056,150,0,0
2018-11-04,203,750,24,0,40000
2018-11-05,236,681,30,0,0
2018-11-06,297,1789,87,5000,60000
2018-11-07,385,1859,88,30000,0
2018-11-08,335,1682,79,25000,0
2018-11-09,310,1463,77,0,10500
2018-11-10,182,683,30,10000,0
2018-11-11,213,810,25,0,0
2018-11-12,350,1352,92,10000,30000
2018-11-13,419,1702,100,20000,81000
2018-11-14,364,1522,94,45000,70500
2018-11-15,375,1608,93,15000,60000
2018-11-16,352,1700,107,70000,30000
2018-11-17,190,875,29,0,0
2018-11-18,228,666,21,5000,0
2018-11-19,442,1510,83,20000,0
2018-11-20,538,1682,102,20000,15000
2018-11-21,473,1787,74,50000,0
2018-11-22,534,1763,101,15000,25500
2018-11-23,456,1548,83,20000,30000
2018-11-24,286,732,26,0,0
2018-11-25,366,766,47,10000,0
2018-11-26,409,1214,90,0,0
2018-11-27,404,1848,105,10000,0
2018-11-28,365,1818,83,5000,10500
2018-11-29,452,1503,87,30000,30000
2018-11-30,337,1370,93,15000,0
2018-12-01,172,676,20,25000,0
2018-12-02,238,1242,31,0,0
2018-12-03,383,2115,101,20000,75000
2018-12-04,367,1462,74,5000,0
2018-12-05,428,2186,81,30000,15000
2018-12-06,413,1754,84,10000,21000
2018-12-07,406,1830,93,0,0
2018-12-08,210,683,36,0,0
2018-12-09,192,785,21,0,0
2018-12-10,399,1534,99,25000,0
2018-12-11,371,1576,94,15000,0
2018-12-12,401,1687,85,5000,0
2018-12-13,381,1848,94,25000,0
2018-12-14,326,1635,304,0,0
2018-12-15,185,725,22,0,0
2018-12-16,178,732,40,5000,0
2018-12-17,324,1517,96,5000,15000
2018-12-18,364,1637,100,20000,10500
2018-12-19,361,1835,98,25000,25500
2018-12-20,387,1974,117,10000,0
2018-12-21,378,1975,83,20000,0
2018-12-22,231,865,43,0,0
2018-12-23,185,785,23,0,0
2018-12-24,336,1390,95,10000,0
2018-12-25,404,1685,99,10000,0
2018-12-26,386,1481,114,0,0
2018-12-27,404,2162,103,0,63000
2018-12-28,271,1420,85,10000,0
2018-12-29,202,1147,57,0,0
2018-12-30,170,665,27,0,0
2018-12-31,126,538,14,0,0
2019-01-01,166,346,21,0,0
2019-01-02,190,480,25,0,0
