2019-08-15,76492,853
2019-08-16,92612,504
2019-08-17,44012,227
2019-08-18,56872,259
2019-08-19,81092,248
2019-08-20,99922,245
2019-08-21,99422,246
2019-08-22,83742,635
2019-08-23,88802,268
2019-08-24,60912,224
2019-08-25,50592,175
2019-08-26,79282,222
2019-08-27,91722,182
2019-08-28,102932,246
2019-08-29,89122,250
